taxon,common.name,class,order,family,genus,species,primarymethod,N,mean.mass.g,log10.mass,alternative.mass.reference,mean.hra.m2,log10.hra,hra.reference,realm,thermoregulation,locomotion,trophic.guild,dimension,preymass,log10.preymass,PPMR,prey.size.reference
birds,sage grouse,aves,galliformes,phasianidae,centrocercus,urophasianus,telemetry,5,1750,3.243038049,"Beck TDI, Brain CE. 1978. Weights of Colorado Sage Grouse. The Condor 80(2), 241-243.",18158215.95,7.259073177,"Eng RL, Schladweiler P. 1972. Sage Grouse Winter Movements and Habitat Use in Central Montana. The Journal of Wildlife Management 36(1), 141-146.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,dusky grouse,aves,galliformes,phasianidae,dendragapus,obscurus,direct observation,3,1050,3.021189299,NA,16996.77,4.230366398,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,willow ptarmigan,aves,galliformes,phasianidae,lagopus,lagopus,direct observation,NA,620,2.792391689,NA,25899.84,4.413297081,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,grey partridge,aves,galliformes,phasianidae,perdix,perdix,telemetry*,NA,381.5,2.581494542,NA,62000,4.792391689,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,black grouse,aves,galliformes,phasianidae,tetrao,tetrix,telemetry*,NA,1139,3.056523724,NA,1975000,6.2955671,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,western capercaillie,aves,galliformes,phasianidae,tetrao,urogallus,telemetry*,NA,2936,3.467756051,NA,5500000,6.740362689,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,greater prairie-chicken,aves,galliformes,phasianidae,typmanuchus,cupido pinnatus,telemetry,71,900,2.954242509,NA,12030000,7.080265627,"Patten, M. A., C. L. Pruett, and D. H. Wolfe. 2011. Home range size and movements of Greater Prairie-Chickens. Pp. 51–62 in B. K. Sandercock, K. Martin, and G. Segelbacher (editors). Ecology, conservation, and management of grouse. Studies in Avian Biology (no. 39), University of California Press, Berkeley, CA.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,brown wood rail,aves,gruiformes,rallidae,aramides,wolfi,telemetry,1,506,2.704150517,NA,90000,4.954242509,"Karubian J, Carrasco L, Mena P, Olivio J, Cabrera D, Castillo F, Duraes R, El Ksabi N. 2011. nesting Biology, Home Range, and Habitat Use of the Brown Wood Rail (Aramides wolfi) in Northwest Ecuador. The Wilson Journal or Ornithology 123(1), 137-141.",terrestrial,endotherm,walking,carnivore,2D,NA,NA,NA,NA
birds,corncrake,aves,gruiformes,rallidae,crex,crex,telemetry,20,165,2.217483944,"Keiss O, Granats J, Mednis A. 2004. Use of biometrical data to study Corncrake Crex crex population in Latvia. Acta Universitatis Latviensis, Biology 676, 119–126.",43000,4.633468456,"Grabovsky VI. 1993.Spatial Distribution and Spacing Behaviour of Males in a Russion Corncrake (Crex crex) Population. Gibier Faune Sauvage 10, 259-279.",terrestrial,endotherm,walking,herbivore,2D,NA,NA,NA,NA
birds,king rail,aves,gruiformes,rallidae,rallus,elegans,telemetry,18,266,2.424881637,NA,44000,4.643452676,"Pickens BA, King SL. 2013. Microhabitat Selection, Demography and Correlates of Home Range Size for the King Rail (Rallus elegans). Waterbirds 36(3), 319-329.",terrestrial,endotherm,walking,carnivore,2D,NA,NA,NA,NA
birds,melodious warbler,aves,passeriformes,acrocephalisae,hippolais,polyglotta,telemetry*,NA,11,1.041392685,NA,30000,4.477121255,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,long-tailed tit,aves,passeriformes,aegithalidae,aegithalos,caudatus,telemetry*,NA,8,0.903089987,NA,42000,4.62324929,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,woodlark,aves,passeriformes,alaudidae,lululla,arborea,direct observation,NA,30,1.477121255,NA,82960.43,4.918870994,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,red-throated ant tanager,aves,passeriformes,cardinalidae,habia,fuscicauda,direct observation,NA,37.7,1.57634135,NA,60702.75,4.783208366,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,red-crowned ant tanager,aves,passeriformes,cardinalidae,habia,rubica,direct observation,NA,32.8,1.515873844,NA,48562.2,4.686298353,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Eurasian treecreeper,aves,passeriformes,certhidae,certhia,familiaris,telemetry*,NA,8.77,0.942999593,NA,47000,4.672097858,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,streaked fantail warbler,aves,passeriformes,cisticolidae,cisticola,juncidis,telemetry*,NA,9.8,0.991226076,NA,14400,4.158362492,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,common raven,aves,passeriformes,corvidae,corvus,corax,telemetry*,NA,1410,3.149219113,NA,28000000,7.447158031,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,spotted nutcracker,aves,passeriformes,corvidae,nucifraga,caryocatactes,direct observation,NA,130,2.113943352,NA,132332,5.121664876,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,herbivore,3D,NA,NA,NA,NA
birds,Peruvian plantcutter,aves,passeriformes,cotingidae,phytotoma,raimondii,mark-recapture,6,42,1.62324929,"Sabat P, Ramirez-Otatola , Barcelo G, Salinas J, Bozinovic F. Comparative basal metabolic rate among passerines and the food habit hypothesis. Comparative Biochemistry and Physiology Part A 157, 35–40.",30900,4.489958479,"Nolazco S, Sanchez AM, Roper JJ. 2014. Tamaño poblacional, distribución y ámbito de hogar de la Cortarrama Peruana (Phytotoma raimondii) en el Santuario Histórico Bosque de Pómac, Lambayeque, Perú. Boletín de la Unión de Ornitólogos del Perú (UNOP), 9 (2): 5-19 .",terrestrial,endotherm,flying,herbivore,3D,NA,NA,NA,NA
birds,grasshopper sparrow,aves,passeriformes,emberizidae,ammodramus,savannarum,direct observation,54,16.7,1.222716471,NA,10926.5,4.03848107,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,indigo bunting,aves,passeriformes,emberizidae,passerina,cyanea,direct observation,10,14.3,1.155336037,NA,1052.18,3.022090042,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Abert's towhee,aves,passeriformes,emberizidae,pipilo,aberti,direct observation,NA,46.3,1.665580991,NA,16187.4,4.209177099,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,herbivore,3D,NA,NA,NA,NA
birds,canyon towhee,aves,passeriformes,emberizidae,pipilo,fuscus,direct observation,34,44.7,1.650307523,NA,25899.84,4.413297081,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,herbivore,3D,NA,NA,NA,NA
birds,American tree sparrow,aves,passeriformes,emberizidae,spizella,arborea,direct observation,30,18.1,1.257678575,NA,16996.77,4.230366398,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,chipping sparrow,aves,passeriformes,emberizidae,spizella,passerina,direct observation,NA,12.2,1.086359831,NA,30756.06,4.487930699,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,common linnet,aves,passeriformes,fringillidae,carduelis,cannabina,telemetry*,NA,1550,3.190331698,NA,3140000,6.496929648,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,herbivore,3D,NA,NA,NA,NA
birds,common chaffinch,aves,passeriformes,fringillidae,fringilla,coelebs,telemetry*,NA,23.25,1.366422957,NA,42000,4.62324929,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,European serin,aves,passeriformes,fringillidae,serinus,serinus,telemetry*,NA,10.7,1.029383778,NA,10000,4,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,eastern meadowlark,aves,passeriformes,icteridae,sturnella,magna,direct observation,NA,89,1.949390007,NA,30351.38,4.482178442,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,western meadowlard,aves,passeriformes,icteridae,sturnella,neglecta,direct observation,NA,89,1.949390007,NA,30351.38,4.482178442,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,yellow-breasted chat,aves,passeriformes,incertae,icteria,virens,direct observation,8,27,1.431363764,NA,1335.46,3.125630884,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,red-backed shrike,aves,passeriformes,laniidae,laniuis,collurio,direct observation,NA,30,1.477121255,NA,15782.72,4.198181852,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,loggerhead shrike,aves,passeriformes,laniidae,laniuis,ludovicianus,direct observation,NA,48.1,1.682145076,NA,75676.1,4.878958742,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,lesser grey shrike,aves,passeriformes,laniidae,lanius,minor,telemetry*,NA,44.22,1.645618738,NA,635800,5.803320524,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,woodchat shrike,aves,passeriformes,laniidae,lanius,senator,telemetry*,NA,35,1.544068044,NA,80000,4.903089987,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,northern mockingbird,aves,passeriformes,mimidae,mimus,polyglottos,direct observation,NA,50.1,1.699837726,NA,4046.85,3.607117107,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,white wagtail,aves,passeriformes,motacillidae,motacilla,alba,telemetry*,NA,21.22,1.32674538,NA,785000,5.894869657,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,western yellow wagtail,aves,passeriformes,motacillidae,motacilla,flava,direct observation,NA,17.5,1.243038049,NA,10117.13,4.00505733,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,spotted flycatcher,aves,passeriformes,muscicapidae,muscicapa,striata,telemetry*,NA,12.8,1.10720997,NA,10000,4,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,northern wheatear,aves,passeriformes,muscicapidae,oenanthe,oenanthe,direct observation,NA,25.2,1.401400541,NA,15378.03,4.186900704,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,common redstart,aves,passeriformes,muscicapidae,phoenicurus,phoenicurus,telemetry*,NA,15.21,1.182129214,NA,4500,3.653212514,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,whinchat,aves,passeriformes,muscicapidae,saxicola,rubetra,telemetry*,NA,16.48,1.216957207,NA,7300,3.86332286,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,black-capped chickadee,aves,passeriformes,paridae,parus,atricapillus,direct observation,NA,11,1.041392685,NA,14568.66,4.163419608,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Carolina chickadee,aves,passeriformes,paridae,parus,carolinensis,direct observation,NA,10.1,1.004321374,NA,14973.35,4.175318976,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Oak titmouse,aves,passeriformes,paridae,parus,inornatus,direct observation,NA,16.6,1.220108088,NA,24281.1,4.385268358,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,marsh tit,aves,passeriformes,paridae,parus,palustris,direct observation,NA,11,1.041392685,NA,22662.36,4.355305134,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,mourning warbler,aves,passeriformes,parulidae,geothlypis ,philadelphia,direct observation,NA,11.3,1.053078443,NA,7689.02,3.885870991,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,common yellowthroat,aves,passeriformes,parulidae,geothylpis,trichas,direct observation,NA,9.8,0.991226076,NA,5260.91,3.721060872,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,prothonotary warbler,aves,passeriformes,parulidae,protonotaria,citrea,direct observation,NA,16.1,1.206825876,NA,14973.35,4.175318976,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,ovenbird,aves,passeriformes,parulidae,seiurus,aurocapillus,direct observation,NA,18.9,1.276461804,NA,10117.13,4.00505733,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Blackburnian warbler,aves,passeriformes,parulidae,setophaga,fusca,direct observation,NA,9.7,0.986771734,NA,5260.91,3.721060872,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Kirtland's warbler,aves,passeriformes,parulidae,setophaga,kirtlandi,direct observation,NA,14,1.146128036,NA,33993.54,4.531396393,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,magnolia warbler,aves,passeriformes,parulidae,setophaga,magnolia,direct observation,NA,8.6,0.934498451,NA,7284.33,3.862389612,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,chestnut-sided warbler,aves,passeriformes,parulidae,setophaga,pensylvanica,direct observation,NA,9.6,0.982271233,NA,6070.28,3.783208724,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,American yellow warbler,aves,passeriformes,parulidae,setophaga,petechia,direct observation,8,9.5,0.977723605,NA,1699.68,3.230367164,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,American redstart,aves,passeriformes,parulidae,setophaga,ruticilla,direct observation,NA,9,0.954242509,NA,1942.49,3.288358792,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,black-throated green warbler,aves,passeriformes,parulidae,setophaga,virens,direct observation,NA,9,0.954242509,NA,6474.96,3.81123709,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Canada warbler,aves,passeriformes,parulidae,wilsonia,canadensis,direct observation,NA,9.3,0.968482949,NA,10117.13,4.00505733,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Western Bonelli's warbler,aves,passeriformes,phylloscopidae,phylloscopus,bonelli,telemetry*,NA,7.5,0.875061263,NA,35000,4.544068044,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,tooth-billed bowerbird,aves,passeriformes,ptilonorhynchidae,scenopoeetes,dentirostris,telemetry,4,158,2.198657087,"Frith CB, Frith DW. 2001. Morphology, Moult and Survival in Three Sympatric Bowerbirds in Australian Wet Tropics Upland Rainforest. Corella 25(3): 41-60.",95000,4.977723605,"Frith CB, Frith DW. 2001. Morphology, Moult, and Survival in Three Sympatric Bowerirds in Australian Wet Tropics Upland Rainforest. Corella 25(3), 41-60.",terrestrial,endotherm,walking,herbivore,3D,NA,NA,NA,NA
birds,common firecrest,aves,passeriformes,regulidae,regulus,ignicapillus,telemetry*,NA,5.3,0.72427587,NA,16500,4.217483944,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,goldcrest,aves,passeriformes,regulidae,regulus,regulus,telemetry*,NA,5.15,0.711807229,NA,19900,4.298853076,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,European nuthatch,aves,passeriformes,stittidae,sitta,europaea,telemetry*,NA,18.3,1.26245109,NA,21000,4.322219295,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,wrentit,aves,passeriformes,sylvidae,chamaea,fasciata,direct observation,NA,14.8,1.170261715,NA,3237.48,3.510207094,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Marmora's warbler,aves,passeriformes,sylviidae,sylvia,sarda,telemetry*,NA,10.5,1.021189299,NA,3300,3.51851394,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Dartford warbler,aves,passeriformes,sylviidae,sylvia,undata,telemetry*,NA,8.8,0.944482672,NA,2800,3.447158031,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Berwick's wren,aves,passeriformes,troglodytidae,thryomanes,bewickiI,direct observation,NA,11,1.041392685,NA,4856.22,3.686298353,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Carolina wren,aves,passeriformes,troglodytidae,thryothorus,ludovicianus,direct observation,6,18.5,1.267171728,NA,1214.06,3.084240151,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,house wren,aves,passeriformes,troglodytidae,troglodytes,aedon,direct observation,NA,11.2,1.049218023,NA,4046.85,3.607117107,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Eurasian wren,aves,passeriformes,troglodytidae,troglodytes,troglodytes,direct observation,NA,9.5,0.977723605,NA,10117.13,4.00505733,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,eastern bluebird,aves,passeriformes,turdidae,sialia,sialis,direct observation,NA,30.8,1.488550717,NA,10117.13,4.00505733,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,eastern wood pewee,aves,passeriformes,tyrannidae,contopus,virens,direct observation,NA,13.8,1.139879086,NA,44029.73,4.643746022,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,least flycatcher,aves,passeriformes,tyrannidae,empidonax,minimus,direct observation,NA,9.9,0.995635195,NA,1780.61,3.250568808,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,American gray flycatcher,aves,passeriformes,tyrannidae,empidonax,wrightii,direct observation,NA,12.3,1.089905111,NA,15782.72,4.198181852,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,eastern kingbird,aves,passeriformes,tyrannidae,tyrannus,tyrannus,direct observation,NA,40.4,1.606381365,NA,83769.8,4.923087479,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,black-capped vireo,aves,passeriformes,vireonidae,vireo,atricapillus,direct observation,NA,8.5,0.929418926,NA,14973.35,4.175318976,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Bell's vireo,aves,passeriformes,vireonidae,vireo,belli,direct observation,NA,10,1,NA,11735.87,4.06951529,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,white-eyed vireo,aves,passeriformes,vireonidae,vireo,griseus,direct observation,2,11.4,1.056904851,NA,1335.46,3.125630884,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,red-eyed vireo,aves,passeriformes,vireonidae,vireo,olivaceus,direct observation,NA,17.6,1.245512668,NA,7284.33,3.862389612,"Schoener, T. W. 1968. Sizes of feeding territories among birds. Ecology 49:123-141.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,great bittern,aves,pelecaniformes,ardeidae,botaurus,stellaris,telemetry,8,900,2.954242509,NA,193000,5.285557309,"Gilbert G, Tyler G, Smith KW. 2005. Behaviour, home-range size and habitat use by male Great Bittern Botaurus stellaris in Britain. Ibis 147, 533-543.",terrestrial,endotherm,walking,carnivore,2D,NA,NA,NA,NA
birds,least bittern,aves,pelecaniformes,ardeidae,ixobrychus,exilis,telemetry,33,67,1.826074803,NA,97000,4.986771734,"Bogner HE, Baldassarre GA. 2002. Home Range, Movement, and Nesting of Least Bitterns in Western New York. The Wilson Bulletin 114(3), 297-308.",terrestrial,endotherm,walking,carnivore,2D,NA,NA,NA,NA
birds,black woodpecker,aves,piciformes,picidae,dryocopus,martius,telemetry*,NA,277.37,2.443059487,NA,3500000,6.544068044,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,Eurasian wryneck,aves,piciformes,picidae,jynx,torquilla,telemetry*,NA,38,1.579783597,NA,1038100,6.016239191,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
birds,white-backed woodpecker,aves,piciformes,picidae,picoides,leucotos,telemetry*,NA,109.25,2.038421446,NA,5306600,6.724816353,"Ottaviani, D., S. C. Cairns, M. Oliverio, and L. Boitani. 2006. Body mass as a predictive variable of home-range size among Italian mammals and birds. Journal of Zoology 269:317-330.",terrestrial,endotherm,flying,carnivore,3D,NA,NA,NA,NA
